Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,,DS_PM_pred,DS_PM_stdd,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
2018,CA,California,Alameda,06001,06001404400,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.1,,,7.8,8.5,5314,POINT (-122.214957 37.84620644),6001404400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.092,11.7639,5425,2678,2747,6.3,67.6,2.5,0,17.4,0,4128,163464,27440,84765,8532,5.1,4.2,71.1,9.7,16.2,0.9,2.1,62.1,2,18.8,0.9,3.1,13.1,36.6,3334,72.2,13.5,14.3,0,1
2018,CA,California,Alameda,06001,06001404501,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.9,,,7.6,8.3,1677,POINT (-122.2158043 37.82633811),6001404501,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.219,12.1583,1857,902,955,6.8,66.7,4.3,0,13.8,0.3,1301,185313,9347,98323,13442,4.5,5.1,75,5.8,14.2,1.3,3.7,50.2,11.9,16.1,2.6,2.2,17.1,29.7,972,76,11,13,0,4.5
2018,CA,California,Alameda,06001,06001404502,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.1,,,7.8,8.6,5784,POINT (-122.2025895 37.83451035),6001404502,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.51,11.8189,5556,2365,3191,7.3,65.8,6.6,0,12.5,0,4211,153169,19937,87254,22934,0.8,0,77.2,6.5,11.4,3.6,1.3,61,9,17.5,1.9,1.9,8.8,35.3,2984,61.5,20.5,18.1,0,2.3
2018,CA,California,Alameda,06001,06001404600,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.3,,,8,8.6,4353,POINT (-122.1910465 37.81977525),6001404600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.659,11.4443,4544,2175,2369,2.7,71.1,5.3,0.3,13.1,3.1,3643,158867,17449,79274,8999,2.7,0,71.7,5.4,15.5,2.1,5.4,61.7,10.9,15.1,0.4,1.7,10.2,35.5,2362,70.2,15.7,13.3,0.7,5.3
2018,CA,California,Alameda,06001,06001404700,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.3,,,7.9,8.8,1954,POINT (-122.2069708 37.81333927),6001404700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.518,11.8009,2084,940,1144,6.4,71.5,5.7,0,13.7,0.4,1584,159856,13640,76507,9038,5.2,1.6,67.7,11.3,15.1,3.6,2.3,57.8,17.3,13.3,0.6,2.1,9,33.6,1097,74.1,12.6,13.3,0,4.4
2018,CA,California,Alameda,06001,06001404800,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.1,,,8.7,9.6,2684,POINT (-122.2132132 37.80557119),6001404800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.478,11.2655,2723,1328,1395,13.4,43.7,16.9,0.6,13.7,0.5,1884,72833,17545,53588,8776,8.9,8.8,58.7,15.2,16.7,2.5,6.9,59,17.2,15.4,0.6,3.3,4.7,34.1,1387,65.2,19.6,15.1,0,8.5
2018,CA,California,Alameda,06001,06001404900,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.6,,,8.2,9,4129,POINT (-122.2215573 37.80407301),6001404900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.884,12.0366,3937,1713,2224,9,60.1,9.4,1.3,11.2,1.7,3032,100625,17946,56010,4055,5.5,1.2,69.9,13.2,12.5,0.8,3.7,48.5,15,21.2,0,3.5,11.8,33.3,2249,64.8,16.3,18.5,0.4,2
2018,CA,California,Alameda,06001,06001405000,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.5,,,8.3,8.9,3136,POINT (-122.2275157 37.80830834),6001405000,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.731,11.6198,3328,1487,1841,8.6,62.6,9.7,0.2,12.3,0,2651,128125,11778,74295,10067,5.1,0,72.8,8,16.3,2.5,0.5,48.7,11.2,20,1.7,3.9,14.5,32.5,1942,67,16.6,16.4,0,5.3
2018,CA,California,Alameda,06001,06001405100,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.1,,,7.9,8.4,4197,POINT (-122.2321627 37.81146569),6001405100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.811,11.8907,4334,2150,2184,3.1,62.6,16.7,0,10,0,3197,191705,32591,90448,9123,2,0,81,5.7,11.4,0.5,1.4,52.9,10.7,13.5,2.9,5.4,14.6,29.7,2299,75.9,12.1,11.7,0.3,1.7
2018,CA,California,Alameda,06001,06001405200,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.6,,,8.3,9,4597,POINT (-122.2434248 37.80527614),6001405200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,,26.408,10.9709,5125,2617,2508,19.5,30.9,9.9,0.9,29.6,1.3,4161,77688,6835,49150,6588,5.9,3.3,62,15.3,16.7,3.1,2.8,49.1,12.3,20.3,2,5,11.3,35.1,3374,77,14.8,8,0.1,4.6
