Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2018,CA,California,Santa Clara,06085,06085504507,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.0,,,6.7,7.3,5768,POINT (-121.9130201 37.4357341),06085504507,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085504601,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.9,,,8.3,9.5,817,POINT (-122.0881274 37.43734996),06085504601,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085504602,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.2,,,7.7,8.6,2144,POINT (-121.9880437 37.4368647),06085504602,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085504700,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.8,,,8.4,9.4,719,POINT (-122.0496419 37.41672577),06085504700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085504802,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.7,,,7.3,8.2,5242,POINT (-121.9911393 37.40045662),06085504802,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085504803,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,6.5,,,6.2,6.9,5756,POINT (-122.0195134 37.40115666),06085504803,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085504805,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.8,,,8.3,9.4,5294,POINT (-122.0034048 37.40313275),06085504805,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085504806,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.5,,,7.1,7.8,2930,POINT (-122.0016865 37.39596086),06085504806,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085504901,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,6.0,,,5.7,6.5,9530,POINT (-121.9509576 37.39628266),06085504901,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505001,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,6.6,,,6.3,7.0,9741,POINT (-121.971192 37.40038198),06085505001,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505006,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,5.9,,,5.6,6.2,3898,POINT (-121.9211247 37.39341046),06085505006,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505007,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.7,,,7.3,8.1,4083,POINT (-121.9481228 37.38515434),06085505007,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505008,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,6.0,,,5.7,6.5,5254,POINT (-121.9439954 37.40551534),06085505008,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505009,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.0,,,7.7,8.4,6256,POINT (-121.9452466 37.41512811),06085505009,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505100,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,7.5,,,7.2,7.8,3027,POINT (-121.9240153 37.36299018),06085505100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505202,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.4,,,7.8,8.8,5867,POINT (-121.9605213 37.37020859),06085505202,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,CA,California,Santa Clara,06085,06085505203,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.3,,,8.9,10.0,4809,POINT (-121.9331438 37.34705981),06085505203,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
